"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C6","47uF 16V","~","Capacitor_THT:C_Axial_L17.0mm_D6.5mm_P20.00mm_Horizontal","3",""
"C3","100pF","~","Spectrum:Capacitor Ceramic","1",""
"C4","22pF","~","Spectrum:Capacitor Ceramic","1",""
"C5","47nF","~","Capacitor_THT:C_Axial_L3.8mm_D2.6mm_P12.50mm_Horizontal","1",""
"C7,C8","330pF","~","Spectrum:Capacitor Ceramic","2",""
"D1,D2","BA157","https://www.vishay.com/docs/88536/ba157.pdf","Spectrum:Diode 1N","2",""
"D3,D4,D9,D10,D11","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Spectrum:Diode 1N","5",""
"D6,D7,D8","BZX79CV4V3","~","Spectrum:Diode 1N","3",""
"L1","22uH 0.41A","~","Inductor_THT:L_Axial_L12.8mm_D5.8mm_P20.32mm_Horizontal_Fastron_HBCC","1",""
"NoFit1","0R","~","Spectrum:Resistor_0.25W","1","DNP"
"Q1,Q2,Q4,Q5","BC213C","~","Package_TO_SOT_THT:TO-92L_Inline_Wide","4",""
"Q3,Q6,Q9","BC184C","~","Package_TO_SOT_THT:TO-92L_Inline_Wide","3",""
"Q10,Q11","BC183","~","Package_TO_SOT_THT:TO-92L_Inline_Wide","2",""
"R1,R3,R5,R11,R14,R19,R31","1K0","-- mixed values --","-- mixed values --","7",""
"R2","NoFit","~","Spectrum:Resistor_0.25W","1","DNP"
"R4,R6,R8,R16","3K9","~","Spectrum:Resistor_0.25W","4",""
"R7","47R","~","Spectrum:Resistor_0.25W","1",""
"R9,R21,R25,R26,R27,R33,R36","10K","~","Spectrum:Resistor_0.25W","7",""
"R10","2K2","~","Spectrum:Resistor_0.25W","1",""
"R12,R15","12K","~","Spectrum:Resistor_0.25W","2",""
"R13,R18,R32","680R","~","Spectrum:Resistor_0.25W","3",""
"R17,R20","2K7","~","Spectrum:Resistor_0.25W","2",""
"R22,R23,R34","330R","~","Spectrum:Resistor_0.25W","3",""
"R24","4K7","~","Spectrum:Resistor_0.25W","1",""
"R28,R29","6K8","~","Spectrum:Resistor_0.25W","2",""
"R30","270R","~","Spectrum:Resistor_0.25W","1",""
"R35","47K","~","Spectrum:Resistor_0.25W","1",""
"SK1","DE9_Receptacle"," ~","Connector_Dsub:DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset14.56mm_Housed_MountingHolesOffset15.98mm","1",""
"SK2,SK3","Network","~","ZX Spectrum 3.5mm:ZX Spectrum 3.5mm Skt","2",""
"SK4","Microdrive","~","ZX Bits:ZX_MD_Edge_Connector","1",""
"SK5","ZX Spectrum","","ZX Bits:Spectrum_Edge_Connector","1",""
"SK6","ZX Expansion","","ZX Bits:ZX_Bus_Edge_Connector","1",""
"U1","LA15-302","LA 15-302 Custom ULA","Package_DIP:DIP-40_W15.24mm","1",""
"U2","TMS4764","","Package_DIP:DIP-24_W15.24mm","1",""
"U3","74LS260","","Package_DIP:DIP-14_W7.62mm","1",""
"U4","74HC04","https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf","Package_DIP:DIP-14_W7.62mm","1",""
"X1","8Mhz","~","Crystal:Crystal_HC18-U_Horizontal","1",""
